UID,itemnumber,itemname,itemprice
0,277354,KS RED CUPS,9.99
1,512599,KS CAS TOWEL,15.79
1,512599,KS CAS TOWEL,15.79
2,364934,V-8 28 PACK,13.99
3,640825,TOPO CHICO,14.99
2,364934,V-8 28 PACK,13.99
4,669190,AMY'S SOUP,11.99
5,1015754,CHAMELEON,21.99
6,22811,PROSCUITTO,11.59
12,229,EX LG EGGS,5.58
13,917538,JIF CRUNCHY,9.79
14,975250,TIKKA MASALA,12.99
15,637643,KS DRESS SCK,8.99
14,975250,TIKKA MASALA,12.99
16,422672,VEGGIE 32 CT,13.99
17,404353,TOOTHPASTE,19.99
18,673053,KS EGG WHITE,9.99
19,924147,COLOMBIAN,12.99
20,924157,SEATTLEBLEND,12.99
21,5288,KS UNSLT NUT,17.99
22,726510,MUSCLE MILK,32.99
23,393950,WILDSALMNOIL,16.99
20,924157,SEATTLEBLEND,12.99
25,638642,HATH BXR 3PK,9.99
26,949985,ADIDASLCSOCK,12.99
27,921986,KS V NECK L,16.99
25,638642,HATH BXR 3PK,9.99
